Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix
KNN,0.9754011299435028,0.9683363945010297,0.9718543046357616,0.9712296333655557,"[[338   1]
 [ 16 249]]"
7_layers,0.9721448467966574,0.9622641509433962,0.9668874172185431,0.9660655092982752,"[[339   0]
 [ 20 245]]"
5_layers,0.9631147540983607,0.9490566037735849,0.9552980132450332,0.9540120976270039,"[[339   0]
 [ 27 238]]"
SVC,0.9299664562828265,0.9337618968108199,0.9321192052980133,0.9314197094947314,"[[312  27]
 [ 14 251]]"
RF,0.9472295514511873,0.9245283018867925,0.9337748344370861,0.9313285202660452,"[[339   0]
 [ 40 225]]"
7_layers_with_dropout,0.9358732553753301,0.9244615127734179,0.9304635761589404,0.9285834938008851,"[[330   9]
 [ 33 232]]"
3_layers,0.9391653103929318,0.9205153893248734,0.9288079470198676,0.9264113788657968,"[[335   4]
 [ 39 226]]"
LR,0.7926937886241248,0.737774809372739,0.7615894039735099,0.7405498281786941,"[[316  23]
 [121 144]]"
SGDC,0.7124566903151295,0.7150108532309234,0.7152317880794702,0.7129372754904669,"[[243  96]
 [ 76 189]]"
DTC,0.6842549139631369,0.6507819892024267,0.6754966887417219,0.6475785613069935,"[[289  50]
 [146 119]]"
NB,0.7973684210526315,0.5641509433962264,0.6175496688741722,0.48664966831131273,"[[339   0]
 [231  34]]"
