Model,Precision Score,Accuracy Score,Recall Score,F1 Score,Confusion Matrix
LR,0.9733139405601312,0.971996386630533,0.971996386630533,0.9719871073494147,"[[545   1]
 [ 30 531]]"
SGDC,0.9606281199356282,0.957542908762421,0.957542908762421,0.9574961020824345,"[[545   1]
 [ 46 515]]"
3_layers,0.9365072351551672,0.9277326106594399,0.9277326106594399,0.9274418797827825,"[[545   1]
 [ 79 482]]"
DTC,0.9192261367058114,0.916892502258356,0.916892502258356,0.9167297143761817,"[[479  67]
 [ 25 536]]"
7_layers_with_dropout,0.8920702972612289,0.8644986449864499,0.8644986449864499,0.8623537930008395,"[[544   2]
 [148 413]]"
RF,0.854529379025228,0.8419150858175248,0.8419150858175248,0.8407383790928666,"[[510  36]
 [139 422]]"
5_layers,0.8605088616622826,0.8310749774164409,0.8310749774164409,0.8279503932280722,"[[531  15]
 [172 389]]"
NB,0.7703551608827456,0.7687443541102078,0.7687443541102078,0.7682132184217674,"[[395 151]
 [105 456]]"
KNN,0.7684029707859914,0.7651309846431797,0.7651309846431797,0.7646522633908915,"[[445 101]
 [159 402]]"
7_layers,0.8379096785329353,0.7732610659439928,0.7732610659439928,0.7627451882949882,"[[541   5]
 [246 315]]"
SVC,0.751947122240204,0.7199638663053297,0.7199638663053297,0.7118153246676994,"[[488  58]
 [252 309]]"
