Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix
LR,0.9958281333571047,0.995774647887324,0.995774647887324,0.9957806213166401,"[[234   0   0]
 [  1 240   0]
 [  2   0 233]]"
7_layers_with_dropout,0.9944608829447271,0.9943661971830986,0.9943661971830986,0.9943781816642284,"[[234   0   0]
 [  2 239   0]
 [  2   0 233]]"
SVC,0.9877934272300468,0.9873239436619718,0.9873239436619718,0.9873631313055944,"[[234   0   0]
 [  2 239   0]
 [  7   0 228]]"
SGDC,0.9817476042606512,0.9816901408450704,0.9816901408450704,0.9817072030260251,"[[228   6   0]
 [  3 237   1]
 [  3   0 232]]"
KNN,0.9555438476630931,0.9492957746478873,0.9492957746478873,0.9492535346190375,"[[233   1   0]
 [  2 239   0]
 [ 33   0 202]]"
5_layers,0.9346596362432323,0.9295774647887324,0.9295774647887324,0.9277945444567944,"[[188  16  30]
 [  1 239   1]
 [  2   0 233]]"
7_layers,0.9351953423233113,0.923943661971831,0.923943661971831,0.9230332693416461,"[[183  51   0]
 [  1 240   0]
 [  2   0 233]]"
RF,0.9224523612261807,0.8985915492957747,0.8985915492957747,0.8961794889942669,"[[234   0   0]
 [  0 241   0]
 [ 72   0 163]]"
3_layers,0.8692235103243617,0.847887323943662,0.847887323943662,0.8439772119010872,"[[146  88   0]
 [  1 240   0]
 [ 19   0 216]]"
NB,0.8567629868168859,0.8422535211267606,0.8422535211267606,0.8380048489281261,"[[148  73  13]
 [ 14 227   0]
 [  4   8 223]]"
DTC,0.7737829148805878,0.7676056338028169,0.7676056338028169,0.7654099650785307,"[[127   0 107]
 [  2 238   1]
 [ 55   0 180]]"
