stage,shoulder_width,feet_width,knee_width,ratio_feet_shoulder,ratio_knee_feet
down,0.07955096118599661,0.0842707916298698,0.10497179640812039,1.1,1.2
down,0.08047822894429132,0.08458883388559268,0.09954793013293955,1.1,1.2
down,0.08057104102088615,0.08525585718159034,0.10079453603264774,1.1,1.2
down,0.08157859042980259,0.08599839364015223,0.10294148394422488,1.1,1.2
up,0.07971407155581003,0.08709119227829548,0.09801092519205365,1.1,1.1
up,0.07676607705902357,0.08552307199876714,0.09388983903988735,1.1,1.1
up,0.07665889398444606,0.08570737550621955,0.08294145089962876,1.1,1.0
up,0.07888534449214381,0.08287281865517522,0.0725266833086746,1.1,0.9
up,0.07894624757758832,0.0799695181869015,0.06552567918342087,1.0,0.8
up,0.07998182235640845,0.08016695483000877,0.06307240644861928,1.0,0.8
up,0.08080565639009826,0.08033776097460107,0.06467941197421856,1.0,0.8
up,0.08194924709802662,0.08050832282172356,0.06450542526414359,1.0,0.8
up,0.0822573878469612,0.08092947616355477,0.06535197769734802,1.0,0.8
up,0.08175829332724538,0.08142763525261862,0.06639753397269943,1.0,0.8
up,0.08019922586744083,0.08144308160172771,0.0665944462070935,1.0,0.8
up,0.07911244083208487,0.08153450531636926,0.06715644262917038,1.0,0.8
up,0.07852090038101552,0.0816964332556021,0.06961880339584803,1.0,0.9
up,0.07866684155667202,0.0819865718305766,0.07301303107276806,1.0,0.9
up,0.0787527761629377,0.08175686662891396,0.07559392252899907,1.0,0.9
up,0.07816967827831593,0.08202863892397291,0.0783485360842209,1.0,1.0
up,0.07622636346112636,0.0820010441688849,0.08009175783504463,1.1,1.0
up,0.07572846296581451,0.08183289389801054,0.08109191679142859,1.1,1.0
up,0.0754119549602152,0.0815091908633756,0.08299527533971375,1.1,1.0
up,0.07551682478874917,0.0810474196002859,0.08446923853699709,1.1,1.0
up,0.07628555998444808,0.08141381373481149,0.08719823612477073,1.1,1.1
up,0.0764837560078231,0.08132630536253524,0.08835905453485023,1.1,1.1
up,0.07648857166136977,0.0814565998721843,0.0895382084723281,1.1,1.1
up,0.07688176633238845,0.08158011645810398,0.09045422418608455,1.1,1.1
up,0.07782754197058306,0.08149776792091211,0.09128405461836624,1.0,1.1
up,0.07888036347385416,0.08165504142141428,0.09222912120418361,1.0,1.1
up,0.0786880450243878,0.08169095234241128,0.09268348536866063,1.0,1.1
up,0.07822855515999344,0.08184514812322354,0.09307697678050049,1.0,1.1
up,0.07813318576410282,0.08195770846644629,0.09384360618736219,1.0,1.1
up,0.07816180411212789,0.08224053329482003,0.09505071634324071,1.1,1.2
up,0.07791353651326198,0.08289836484618003,0.09612536100923319,1.1,1.2
up,0.07860745338729636,0.08333880125344414,0.09574822384648503,1.1,1.1
up,0.07880259961412416,0.0837518314996694,0.09663592649121953,1.1,1.2
up,0.0794687367958539,0.0841670126198717,0.09707733942695304,1.1,1.2
up,0.07938418748705314,0.084265137024769,0.0970336727634482,1.1,1.2
up,0.07948261435737639,0.08462247960271507,0.09620870856541926,1.1,1.1
up,0.07956191377916418,0.08507449820099836,0.09590830195907303,1.1,1.1
up,0.07940782867172917,0.08488673124656237,0.09541068336627348,1.1,1.1
middle,0.07930914213280725,0.08536962929387477,0.09558595999121322,1.1,1.1
middle,0.0791999855157806,0.08511368924663977,0.0957780697293743,1.1,1.1
middle,0.07916477058191865,0.0852150483547466,0.09585516840911455,1.1,1.1
middle,0.07902491008705237,0.08540727432404069,0.09591866011723481,1.1,1.1
middle,0.07927628274023989,0.08519795379989471,0.09590513953060527,1.1,1.1
middle,0.07947953851305851,0.08516692160288708,0.09598449869248132,1.1,1.1
middle,0.07954158643022399,0.0855979362947941,0.09589955984332077,1.1,1.1
